ideology,religion,risk_seeking,expend_total,seems_fun,enjoy_thinking,self_control,risk_aversion,gender,age,marital,employment,urban,education,income,white,black,hispanic,income_delta,expend_delta,overconfidence,lottery_payout,happiness,financial_literacy,financial_numeracy,gamblers_fallacy,non_belief_lln,ev_miscalculation,income_effects_delta_pct,state,expenditures_share_income,education_5,education_10,education_15,education_20
Slightly Liberal,0.0,-4,2.0,0 - Neutral,1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,74.0,Married,0.0,Metro Area,13.0,112.5,1.0,0.0,0.0,-17.5,0.0,0.0,0.15,1.0,1.0,0.6666667,0.0,0.42703333,0.0,0.0,DE,0.017777777777777778,1,1,0,0
Moderate,0.0,-7 - Very willing,50.0,1,3 - Strongly Agree,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,23.0,0.0,1.0,Metro Area,12.0,55.0,0.0,0.0,1.0,2.5,37.5,0.0,0.55,8.0,0.4,0.6666667,0.0,0.42703333,0.75,2.5,DE,0.9090909090909091,1,1,0,0
Slightly Liberal,0.0,-4,20.0,1,1,1,Above-average financial risks expecting to earn above-average returns.,Female,39.0,Married,1.0,Metro Area,13.0,45.0,0.0,0.0,0.0,-2.5,7.5,0.0,0.35,-4.0,0.6,0.6666667,0.0,0.42703333,1.0,2.5,DE,0.4444444444444444,1,1,0,0
Slightly Conservative,0.0,-3,0.0,-2,-2,0 - The right amount,No financial risks.,Female,83.0,Married,0.0,Metro Area,13.0,55.0,1.0,0.0,0.0,2.5,0.0,0.0,0.25,4.0,0.4,0.6666667,0.0,0.3937,1.0,2.5,DE,0.0,1,1,0,0
Slightly Liberal,1.0,-1 - Very unwilling,1.0,0 - Neutral,0 - Neutral,0 - The right amount,No financial risks.,Female,63.0,0.0,1.0,Metro Area,18.0,32.5,0.0,1.0,0.0,-37.5,0.0,0.0,0.15,10.0,1.0,1.0,0.0,0.42703333,1.0,0.0,DE,0.03076923076923077,1,1,1,0
Slightly Liberal,0.0,-5,3.0,-3 - Strongly Disagree,3 - Strongly Agree,2,Above-average financial risks expecting to earn above-average returns.,Male,67.0,Married,0.0,Metro Area,14.0,92.5,1.0,0.0,0.0,2.5,-7.5,0.0,0.45,-2.0,1.0,1.0,0.0,0.40043333,0.0,0.0,DE,0.032432432432432434,1,1,0,0
Moderate,1.0,-5,30.0,1,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,48.0,0.0,0.0,Metro Area,18.0,92.5,0.0,1.0,0.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.7270333,0.0,-7.5,DE,0.32432432432432434,1,1,1,0
Liberal,0.0,-5,1.0,2,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,43.0,Married,1.0,Metro Area,18.0,112.5,1.0,0.0,0.0,-2.5,0.0,0.1,0.35,6.0,0.6,0.6666667,0.0,0.42703333,1.0,0.0,DE,0.008888888888888889,1,1,1,0
Slightly Liberal,1.0,-2,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,-3 - Far too little,No financial risks.,Female,70.0,0.0,0.0,Metro Area,18.0,67.5,1.0,0.0,0.0,2.5,-50.0,0.0,0.05,-5.0,0.6,0.0,0.6666667,0.5437,1.0,-50.0,DE,0.0,1,1,1,0
Conservative,1.0,-4,10.0,1,3 - Strongly Agree,0 - The right amount,No financial risks.,Male,44.0,0.0,0.0,Metro Area,12.0,7.5,1.0,0.0,0.0,2.5,-50.0,0.0,0.15,-10.0,1.0,0.6666667,0.0,0.32703334,1.0,0.0,DE,1.3333333333333333,1,1,0,0
Slightly Liberal,0.0,-3,10.0,1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,72.0,Married,0.0,Metro Area,18.0,92.5,1.0,0.0,0.0,2.5,0.0,0.0,0.25,-2.0,1.0,1.0,0.0,0.07203333,0.5,0.0,DE,0.10810810810810811,1,1,1,0
Slightly Conservative,0.0,-5,5.0,1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,54.0,Married,1.0,Metro Area,13.0,80.0,1.0,0.0,0.0,2.5,0.0,0.0,0.25,1.0,1.0,0.6666667,0.0,0.42703333,0.0,0.0,DE,0.0625,1,1,0,0
Slightly Conservative,0.0,-3,2.0,-1,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,49.0,Married,1.0,Metro Area,16.0,137.5,1.0,0.0,0.0,17.5,0.0,0.0,0.05,5.0,1.0,0.6666667,0.0,0.42703333,1.0,7.5,DE,0.014545454545454545,1,1,1,0
Conservative,1.0,-5,25.0,2,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,59.0,0.0,1.0,Metro Area,13.0,37.5,1.0,0.0,0.0,-2.5,0.0,0.0,0.15,2.0,1.0,1.0,0.0,0.072966665,0.0,17.5,DE,0.6666666666666666,1,1,0,0
Moderate,0.0,-4,0.0,-3 - Strongly Disagree,3 - Strongly Agree,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,38.0,0.0,1.0,Metro Area,16.0,67.5,0.0,0.0,1.0,-2.5,0.0,0.0,0.55,9.0,0.4,0.6666667,0.6666667,0.34376666,1.0,0.0,DE,0.0,1,1,1,0
Slightly Conservative,1.0,-4,0.0,-2,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,34.0,0.0,1.0,Metro Area,16.0,37.5,1.0,0.0,0.0,2.5,0.0,0.0,0.25,-1.0,1.0,1.0,0.0,0.42703333,0.0,0.0,DE,0.0,1,1,1,0
Moderate,1.0,-5,30.0,2,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,81.0,Married,1.0,Metro Area,18.0,162.5,1.0,0.0,0.0,-2.5,7.5,0.0,0.35,0.0,1.0,0.6666667,0.6666667,0.5937,1.0,0.0,DE,0.18461538461538463,1,1,1,0
Conservative,1.0,-5,200.0,1,3 - Strongly Agree,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,64.0,Married,1.0,Metro Area,13.0,92.5,1.0,0.0,0.0,2.5,-2.5,0.0,0.15,3.0,1.0,0.6666667,0.0,0.072966665,0.0,7.5,DE,2.1621621621621623,1,1,0,0
Moderate,0.0,-1 - Very unwilling,10.0,0 - Neutral,-3 - Strongly Disagree,-3 - Far too little,No financial risks.,Male,61.0,Married,1.0,Metro Area,18.0,55.0,0.0,1.0,0.0,0.0,2.5,0.0,0.15,5.0,0.8,0.33333334,0.0,0.42703333,1.0,0.0,DE,0.18181818181818182,1,1,1,0
Moderate,0.0,-3,200.0,0 - Neutral,0 - Neutral,1,No financial risks.,Male,70.0,0.0,0.0,Metro Area,13.0,37.5,0.0,1.0,0.0,,17.5,0.0,0.05,,1.0,0.6666667,1.0,0.6088397,1.0,-17.5,FL,5.333333333333333,1,1,0,0
Moderate,1.0,-2,0.0,0 - Neutral,0 - Neutral,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,64.0,0.0,1.0,Metro Area,13.0,22.5,0.0,0.0,1.0,0.0,-50.0,-1.0,0.15,8.0,0.6,0.6666667,0.33333334,0.5937,1.0,2.5,FL,0.0,1,1,0,0
Conservative,1.0,-6,100.0,0 - Neutral,0 - Neutral,-3 - Far too little,No financial risks.,Female,59.0,Married,0.0,Metro Area,14.0,67.5,0.0,0.0,1.0,-17.5,-2.5,0.0,0.05,0.0,0.6,0.0,0.6666667,0.80036664,1.0,7.5,FL,1.4814814814814814,1,1,0,0
Slightly Liberal,0.0,-4,0.0,1,-1,-1,Above-average financial risks expecting to earn above-average returns.,Male,38.0,Married,1.0,Metro Area,16.0,67.5,1.0,0.0,0.0,2.5,0.0,0.1,0.25,0.0,1.0,1.0,0.0,0.2053,1.0,2.5,FL,0.0,1,1,1,0
Slightly Liberal,1.0,-4,0.0,-3 - Strongly Disagree,2,-3 - Far too little,Average financial risks expecting to earn average returns.,Male,57.0,0.0,1.0,Metro Area,16.0,45.0,0.0,1.0,0.0,2.5,,0.0,0.15,7.0,1.0,0.6666667,0.0,0.42703333,0.25,0.0,FL,0.0,1,1,1,0
Extremely Conservative,1.0,-4,600.0,2,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,67.0,Married,0.0,Metro Area,11.0,162.5,1.0,0.0,0.0,7.5,7.5,0.1,0.45,7.0,0.6,0.0,0.6666667,0.5937,1.0,2.5,FL,3.6923076923076925,1,1,0,0
Moderate,1.0,-3,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,No financial risks.,Male,72.0,Married,0.0,Metro Area,13.0,32.5,0.0,1.0,0.0,2.5,0.0,0.0,0.25,-5.0,1.0,0.6666667,0.6666667,0.8103667,1.0,0.0,FL,0.0,1,1,0,0
Slightly Liberal,0.0,-4,5.0,0 - Neutral,1,-1,Average financial risks expecting to earn average returns.,Male,67.0,Married,1.0,Metro Area,13.0,67.5,1.0,0.0,0.0,-17.5,-2.5,0.0,0.15,10.0,1.0,0.6666667,0.0,0.42703333,0.0,2.5,FL,0.07407407407407407,1,1,0,0
Moderate,0.0,-4,1.0,0 - Neutral,1,-3 - Far too little,Average financial risks expecting to earn average returns.,Male,24.0,0.0,1.0,Metro Area,13.0,22.5,0.0,0.0,1.0,37.5,-50.0,0.0,0.65,5.0,0.6,0.33333334,1.0,0.3737,1.0,0.0,FL,0.044444444444444446,1,1,0,0
Slightly Conservative,0.0,-6,20.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,32.0,Married,1.0,Metro Area,13.0,162.5,1.0,0.0,0.0,2.5,-17.5,0.0,0.05,5.0,0.8,0.33333334,0.0,0.42703333,1.0,0.0,FL,0.12307692307692308,1,1,0,0
Liberal,0.0,-4,1.0,1,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,42.0,Married,1.0,Metro Area,18.0,80.0,1.0,0.0,0.0,7.5,0.0,0.0,0.15,0.0,1.0,0.6666667,0.0,0.4937,1.0,2.5,FL,0.0125,1,1,1,0
Conservative,0.0,-3,100.0,1,3 - Strongly Agree,-1,Average financial risks expecting to earn average returns.,Male,33.0,0.0,1.0,Metro Area,12.0,67.5,0.0,0.0,1.0,7.5,0.0,0.0,0.25,0.0,0.4,0.33333334,1.0,0.82703334,0.5,0.0,FL,1.4814814814814814,1,1,0,0
Moderate,0.0,-6,100.0,2,1,0 - The right amount,No financial risks.,Male,47.0,Married,0.0,Metro Area,13.0,32.5,1.0,0.0,0.0,0.0,2.5,0.1,0.25,7.0,0.8,0.6666667,0.0,0.42703333,0.25,0.0,FL,3.076923076923077,1,1,0,0
Slightly Liberal,0.0,-4,0.0,0 - Neutral,0 - Neutral,-1,Average financial risks expecting to earn average returns.,Female,63.0,0.0,1.0,Non-Metro Area,14.0,45.0,1.0,0.0,0.0,-2.5,0.0,-0.2,0.55,0.0,1.0,0.6666667,0.33333334,0.18863334,0.75,0.0,FL,0.0,1,1,0,0
Slightly Liberal,1.0,-3,1.0,1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,91.0,0.0,0.0,Metro Area,7.5,22.5,1.0,0.0,0.0,2.5,-2.5,0.0,,6.0,1.0,0.6666667,0.0,0.072966665,0.5,0.0,FL,0.044444444444444446,1,0,0,0
Extremely Conservative,1.0,-3,0.0,-3 - Strongly Disagree,-2,0 - The right amount,Average financial risks expecting to earn average returns.,Female,69.0,Married,1.0,Metro Area,13.0,67.5,1.0,0.0,0.0,-37.5,0.0,0.0,0.55,-3.0,1.0,1.0,0.0,0.42703333,1.0,0.0,FL,0.0,1,1,0,0
Moderate,0.0,-2,0.0,0 - Neutral,0 - Neutral,-3 - Far too little,No financial risks.,Female,43.0,Married,1.0,Metro Area,13.0,45.0,0.0,0.0,1.0,-2.5,-50.0,0.0,0.35,0.0,0.8,0.6666667,0.0,0.42703333,1.0,0.0,FL,0.0,1,1,0,0
Liberal,0.0,-2,12.0,2,3 - Strongly Agree,-1,Average financial risks expecting to earn average returns.,Male,78.0,0.0,0.0,Metro Area,12.0,45.0,1.0,0.0,0.0,2.5,0.0,0.1,0.75,5.0,1.0,0.6666667,0.0,0.4337,1.0,7.5,FL,0.26666666666666666,1,1,0,0
Moderate,0.0,-5,17.0,1,3 - Strongly Agree,1,Average financial risks expecting to earn average returns.,Male,34.0,0.0,1.0,Metro Area,16.0,27.5,1.0,0.0,0.0,-37.5,37.5,0.6,0.05,2.0,1.0,1.0,0.0,0.5937,0.0,17.5,FL,0.6181818181818182,1,1,1,0
Moderate,0.0,-1 - Very unwilling,10.0,3 - Strongly Agree,3 - Strongly Agree,-3 - Far too little,No financial risks.,Female,56.0,Married,0.0,Metro Area,12.0,17.5,1.0,0.0,0.0,2.5,0.0,0.0,0.25,10.0,0.6,0.0,0.0,0.5937,0.5,2.5,FL,0.5714285714285714,1,1,0,0
Slightly Conservative,1.0,-5,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,31.0,Married,1.0,Metro Area,16.0,45.0,0.0,0.0,0.0,2.5,0.0,0.0,0.05,3.0,1.0,0.6666667,0.0,0.42703333,0.25,0.0,FL,0.0,1,1,1,0
Slightly Conservative,0.0,-5,20.0,3 - Strongly Agree,2,-3 - Far too little,No financial risks.,Female,67.0,0.0,0.0,Metro Area,12.0,12.5,1.0,0.0,0.0,-2.5,-50.0,0.2,0.25,10.0,0.2,0.33333334,0.6666667,0.4937,1.0,0.0,FL,1.6,1,1,0,0
Liberal,0.0,-3,0.0,0 - Neutral,1,1,Average financial risks expecting to earn average returns.,Male,66.0,Married,1.0,Metro Area,16.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,4.0,0.8,0.6666667,0.0,0.42703333,0.25,0.0,FL,0.0,1,1,1,0
Slightly Liberal,1.0,-2,0.0,2,3 - Strongly Agree,-2,No financial risks.,Female,34.0,0.0,1.0,Metro Area,16.0,45.0,0.0,0.0,1.0,17.5,0.0,-0.1,0.15,-4.0,0.6,0.33333334,1.0,0.42703333,1.0,17.5,FL,0.0,1,1,1,0
Moderate,1.0,-1 - Very unwilling,150.0,3 - Strongly Agree,3 - Strongly Agree,2,No financial risks.,Female,49.0,Married,1.0,Metro Area,12.0,55.0,0.0,0.0,1.0,2.5,0.0,0.1,0.55,10.0,0.4,0.33333334,0.33333334,0.5270333,0.75,-2.5,FL,2.727272727272727,1,1,0,0
Conservative,0.0,-2,80.0,2,2,0 - The right amount,Average financial risks expecting to earn average returns.,Male,71.0,Married,0.0,Metro Area,13.0,45.0,1.0,0.0,0.0,2.5,-2.5,0.0,0.15,5.0,1.0,1.0,0.0,0.42703333,0.75,2.5,FL,1.7777777777777777,1,1,0,0
Extremely Conservative,0.0,-4,2.0,1,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,30.0,0.0,1.0,Metro Area,16.0,67.5,0.0,1.0,0.0,7.5,2.5,0.0,0.05,10.0,1.0,0.6666667,0.6666667,0.86703336,1.0,2.5,FL,0.02962962962962963,1,1,1,0
Conservative,0.0,-4,300.0,0 - Neutral,0 - Neutral,1,Above-average financial risks expecting to earn above-average returns.,Female,82.0,0.0,0.0,Metro Area,14.0,17.5,0.0,0.0,1.0,2.5,-50.0,0.0,0.75,6.0,0.4,0.0,0.6666667,0.5937,1.0,0.0,FL,17.142857142857142,1,1,0,0
Conservative,1.0,-3,75.0,0 - Neutral,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,32.0,0.0,1.0,Non-Metro Area,14.0,32.5,1.0,0.0,0.0,2.5,0.0,0.0,0.55,0.0,0.4,0.6666667,0.6666667,0.51703334,1.0,17.5,FL,2.3076923076923075,1,1,0,0
Moderate,0.0,-7 - Very willing,10.0,0 - Neutral,2,-1,Above-average financial risks expecting to earn above-average returns.,Male,33.0,Married,1.0,Metro Area,12.0,27.5,0.0,1.0,0.0,-17.5,-7.5,0.1,0.35,9.0,0.6,0.0,1.0,0.5937,1.0,-2.5,FL,0.36363636363636365,1,1,0,0
Slightly Liberal,1.0,-3,5.0,0 - Neutral,0 - Neutral,-3 - Far too little,No financial risks.,Female,64.0,0.0,0.0,Metro Area,14.0,17.5,0.0,0.0,1.0,0.0,0.0,0.2,0.65,0.0,0.6,0.0,0.33333334,0.8803667,1.0,0.0,FL,0.2857142857142857,1,1,0,0
Liberal,0.0,-4,5.0,2,2,0 - The right amount,Average financial risks expecting to earn average returns.,Female,33.0,Married,1.0,Metro Area,16.0,137.5,1.0,0.0,0.0,-17.5,17.5,0.1,0.25,5.0,1.0,0.6666667,0.0,0.42703333,1.0,0.0,FL,0.03636363636363636,1,1,1,0
Moderate,0.0,-2,20.0,0 - Neutral,1,0 - The right amount,No financial risks.,Male,65.0,0.0,1.0,Metro Area,11.0,55.0,1.0,0.0,0.0,17.5,2.5,0.0,0.65,9.0,0.6,0.0,1.0,0.61036664,1.0,0.0,FL,0.36363636363636365,1,1,0,0
Slightly Liberal,0.0,-3,100.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,68.0,0.0,0.0,Metro Area,11.0,27.5,0.0,0.0,1.0,0.0,0.0,0.0,0.15,5.0,0.6,0.33333334,0.0,0.3237,0.75,-50.0,FL,3.6363636363636362,1,1,0,0
Slightly Conservative,1.0,-2,0.0,0 - Neutral,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,67.0,0.0,0.0,Non-Metro Area,16.0,45.0,1.0,0.0,0.0,-17.5,0.0,0.0,0.55,1.0,1.0,1.0,0.0,0.42703333,0.0,0.0,FL,0.0,1,1,1,0
Slightly Liberal,1.0,-3,0.0,0 - Neutral,0 - Neutral,0 - The right amount,No financial risks.,Female,84.0,0.0,0.0,Metro Area,13.0,32.5,1.0,0.0,0.0,-7.5,-2.5,0.0,0.25,0.0,0.8,1.0,0.6666667,0.7270333,1.0,0.0,FL,0.0,1,1,0,0
Slightly Liberal,0.0,-1 - Very unwilling,5.0,0 - Neutral,3 - Strongly Agree,-3 - Far too little,No financial risks.,Female,43.0,0.0,1.0,Metro Area,13.0,22.5,1.0,0.0,0.0,-17.5,0.0,0.0,0.35,3.0,0.4,0.6666667,1.0,0.5937,1.0,0.0,FL,0.2222222222222222,1,1,0,0
Liberal,1.0,-4,1200.0,2,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,36.0,0.0,1.0,Metro Area,14.0,55.0,0.0,0.0,1.0,0.0,2.5,0.5,0.25,-7.0,1.0,1.0,1.0,0.5437,1.0,0.0,FL,21.818181818181817,1,1,0,0
Moderate,0.0,-4,2.0,1,3 - Strongly Agree,-1,Above-average financial risks expecting to earn above-average returns.,Male,47.0,0.0,1.0,Metro Area,14.0,7.5,0.0,0.0,1.0,-37.5,0.0,0.0,0.25,5.0,0.8,0.6666667,0.0,0.42703333,1.0,0.0,FL,0.26666666666666666,1,1,0,0
Moderate,0.0,-2,40.0,1,-2,0 - The right amount,Average financial risks expecting to earn average returns.,Female,54.0,Married,1.0,Non-Metro Area,14.0,137.5,1.0,0.0,0.0,50.0,50.0,0.0,0.45,8.0,1.0,0.6666667,0.6666667,0.33703333,0.5,-50.0,FL,0.2909090909090909,1,1,0,0
Liberal,0.0,-5,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,-3 - Far too little,Substantial financial risks expecting to earn substantial returns.,Female,32.0,0.0,1.0,Metro Area,16.0,22.5,0.0,1.0,0.0,-17.5,0.0,0.0,0.05,0.0,0.6,0.0,1.0,0.5937,1.0,0.0,FL,0.0,1,1,1,0
Liberal,0.0,-4,2.0,0 - Neutral,2,-1,Average financial risks expecting to earn average returns.,Male,68.0,Married,0.0,Metro Area,13.0,137.5,1.0,0.0,0.0,37.5,-7.5,0.0,0.55,1.0,1.0,1.0,0.0,0.0653,0.25,0.0,FL,0.014545454545454545,1,1,0,0
Moderate,0.0,-2,20.0,2,0 - Neutral,1,No financial risks.,Male,45.0,Married,1.0,Metro Area,13.0,92.5,1.0,0.0,0.0,-2.5,-7.5,0.0,0.25,5.0,1.0,0.6666667,0.0,0.42703333,0.0,0.0,FL,0.21621621621621623,1,1,0,0
Moderate,0.0,-1 - Very unwilling,100.0,1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,40.0,0.0,0.0,Metro Area,13.0,17.5,0.0,1.0,0.0,0.0,7.5,-2.95,0.75,5.0,0.8,0.33333334,0.6666667,0.3937,1.0,2.5,FL,5.714285714285714,1,1,0,0
Extremely Liberal,0.0,-6,100.0,2,1,2,Average financial risks expecting to earn average returns.,Male,58.0,0.0,1.0,Metro Area,20.0,22.5,0.0,0.0,1.0,2.5,-2.5,0.0,0.25,7.0,0.4,0.0,1.0,0.7003667,1.0,2.5,FL,4.444444444444445,1,1,1,1
Liberal,0.0,-5,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,30.0,0.0,1.0,Metro Area,13.0,92.5,1.0,0.0,0.0,-37.5,0.0,0.0,0.15,-6.0,0.8,0.6666667,0.0,0.6088397,1.0,0.0,FL,0.0,1,1,0,0
Extremely Liberal,0.0,-3,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,No financial risks.,Male,67.0,Married,1.0,Non-Metro Area,14.0,32.5,1.0,0.0,0.0,-50.0,0.0,0.0,0.15,0.0,0.8,1.0,0.0,0.42703333,0.0,0.0,FL,0.0,1,1,0,0
Liberal,1.0,-6,200.0,-1,3 - Strongly Agree,1,Above-average financial risks expecting to earn above-average returns.,Male,52.0,0.0,1.0,Metro Area,18.0,92.5,0.0,1.0,0.0,-17.5,-17.5,2.25,0.15,10.0,0.2,0.6666667,0.0,0.32703334,1.0,-7.5,FL,2.1621621621621623,1,1,1,0
Liberal,0.0,-4,0.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,23.0,0.0,1.0,Metro Area,14.0,32.5,1.0,0.0,0.0,-37.5,-7.5,0.0,0.45,0.0,0.0,0.6666667,1.0,0.61036664,1.0,-2.5,FL,0.0,1,1,0,0
Extremely Liberal,0.0,-4,0.0,2,2,0 - The right amount,Average financial risks expecting to earn average returns.,Female,57.0,Married,0.0,Metro Area,13.0,92.5,1.0,0.0,0.0,-17.5,0.0,0.0,0.85,10.0,1.0,0.33333334,0.6666667,0.42703333,1.0,0.0,FL,0.0,1,1,0,0
Moderate,0.0,-3,15.0,1,2,-2,No financial risks.,Female,66.0,0.0,0.0,Metro Area,13.0,22.5,1.0,0.0,0.0,0.0,-50.0,0.1,0.25,0.0,0.8,0.6666667,0.0,0.42703333,1.0,0.0,FL,0.6666666666666666,1,1,0,0
Extremely Liberal,0.0,-5,5.0,-3 - Strongly Disagree,-2,0 - The right amount,No financial risks.,Female,57.0,Married,0.0,Metro Area,16.0,55.0,1.0,0.0,0.0,-2.5,0.0,0.0,0.55,0.0,0.6,1.0,0.0,0.42703333,1.0,0.0,FL,0.09090909090909091,1,1,1,0
Moderate,0.0,-4,40.0,2,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,39.0,Married,1.0,Metro Area,12.0,37.5,0.0,0.0,1.0,0.0,0.0,0.1,0.35,0.0,0.0,0.0,0.0,0.42703333,0.75,0.0,FL,1.0666666666666667,1,1,0,0
Liberal,0.0,-7 - Very willing,300.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,No financial risks.,Male,35.0,0.0,1.0,Metro Area,20.0,12.5,0.0,0.0,1.0,-50.0,-50.0,0.0,0.55,7.0,0.2,0.0,0.6666667,0.5937,1.0,0.0,FL,24.0,1,1,1,1
Liberal,0.0,-2,50.0,3 - Strongly Agree,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,62.0,Married,1.0,Non-Metro Area,16.0,67.5,1.0,0.0,0.0,-37.5,-37.5,0.3,0.25,-2.0,0.4,0.33333334,0.0,0.42703333,1.0,7.5,FL,0.7407407407407407,1,1,1,0
Slightly Liberal,0.0,-4,20.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,69.0,0.0,0.0,Metro Area,14.0,55.0,1.0,0.0,0.0,2.5,0.0,-0.1,0.55,0.0,1.0,0.6666667,0.0,0.42703333,1.0,0.0,FL,0.36363636363636365,1,1,0,0
Slightly Conservative,0.0,-2,8.0,0 - Neutral,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,57.0,Married,1.0,Metro Area,18.0,162.5,1.0,0.0,0.0,17.5,7.5,0.0,0.75,0.0,1.0,1.0,0.0,0.058633335,0.0,0.0,FL,0.04923076923076923,1,1,1,0
Moderate,0.0,-5,10.0,0 - Neutral,1,0 - The right amount,No financial risks.,Male,64.0,Married,1.0,Metro Area,18.0,55.0,1.0,0.0,0.0,7.5,37.5,0.0,0.55,2.0,1.0,1.0,1.0,0.17196667,1.0,-17.5,FL,0.18181818181818182,1,1,1,0
Liberal,0.0,-4,0.0,-2,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,66.0,Married,0.0,Metro Area,13.0,80.0,1.0,0.0,0.0,2.5,0.0,0.0,0.15,0.0,1.0,1.0,0.0,0.37703332,0.5,0.0,FL,0.0,1,1,0,0
Conservative,1.0,-4,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,33.0,Married,1.0,Metro Area,18.0,67.5,1.0,0.0,0.0,2.5,0.0,0.0,0.05,2.0,1.0,0.6666667,0.6666667,0.2553,1.0,0.0,FL,0.0,1,1,1,0
Moderate,1.0,-3,0.0,0 - Neutral,-2,0 - The right amount,Average financial risks expecting to earn average returns.,Male,85.0,0.0,0.0,Metro Area,18.0,22.5,0.0,1.0,0.0,-2.5,0.0,-0.1,0.15,7.0,1.0,0.6666667,1.0,0.17196667,0.75,0.0,FL,0.0,1,1,1,0
Conservative,0.0,-4,1.0,0 - Neutral,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,66.0,Married,0.0,Metro Area,16.0,67.5,1.0,0.0,0.0,17.5,0.0,0.0,0.15,0.0,1.0,1.0,0.0,0.34376666,1.0,0.0,FL,0.014814814814814815,1,1,1,0
Moderate,1.0,-6,200.0,1,3 - Strongly Agree,0 - The right amount,Substantial financial risks expecting to earn substantial returns.,Male,68.0,Married,0.0,Metro Area,12.0,32.5,0.0,0.0,1.0,-17.5,-50.0,4.05,0.15,8.0,0.6,0.33333334,1.0,0.08196667,0.75,-37.5,FL,6.153846153846154,1,1,0,0
Moderate,0.0,-5,50.0,1,2,-2,Average financial risks expecting to earn average returns.,Male,41.0,0.0,1.0,Metro Area,13.0,45.0,0.0,1.0,0.0,-37.5,7.5,0.0,0.25,0.0,1.0,0.33333334,1.0,0.4937,1.0,0.0,FL,1.1111111111111112,1,1,0,0
Liberal,1.0,-4,100.0,1,3 - Strongly Agree,2,No financial risks.,Male,57.0,Married,0.0,Metro Area,14.0,22.5,0.0,1.0,0.0,0.0,0.0,0.0,0.25,6.0,0.8,0.33333334,0.0,0.42703333,1.0,0.0,FL,4.444444444444445,1,1,0,0
Slightly Conservative,1.0,-5,2.0,1,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,23.0,0.0,0.0,Metro Area,13.0,80.0,0.0,0.0,1.0,-50.0,-50.0,-0.1,0.25,8.0,0.8,1.0,0.0,0.42703333,1.0,0.0,FL,0.025,1,1,0,0
Liberal,1.0,-4,100.0,2,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,26.0,0.0,1.0,Metro Area,14.0,37.5,0.0,1.0,0.0,17.5,-50.0,4.85,0.15,,0.6,0.6666667,0.0,0.42703333,0.75,2.5,FL,2.6666666666666665,1,1,0,0
